Time_sec,Local_Field_Potential_mV
1.417,0.14695
1.418,0.092744
1.419,0.042488
1.42,0.042426
1.421,0.087519
1.422,0.057417
1.423,0.023354
1.424,0.089482
1.425,0.11678
1.426,0.10244
1.427,0.11926
1.428,0.15685
1.429,0.17849
1.43,0.19748
1.431,0.21182
1.432,0.19822
1.433,0.18495
1.434,0.20144
1.435,0.16531
1.436,0.12519
1.437,0.15217
1.438,0.14493
1.439,0.14078
1.44,0.12892
1.441,0.12363
1.442,0.13198
1.443,0.12436
1.444,0.17199
1.445,0.18575
1.446,0.14766
1.447,0.12985
1.448,0.10551
1.449,0.11816
1.45,0.12427
1.451,0.063138
1.452,-0.00019797
1.453,-0.03325
1.454,-0.017406
1.455,-0.041791
1.456,-0.062517
1.457,-0.051762
1.458,-0.073513
1.459,-0.037398
1.46,-0.013539
1.461,0.011034
1.462,0.0042306
1.463,-0.0076877
1.464,0.009352
1.465,-0.0076941
1.466,0.040394
1.467,0.045242
1.468,0.034809
1.469,0.035216
1.47,0.033108
1.471,0.073672
1.472,0.05779
1.473,0.0177
1.474,0.00084782
